id,season_id,home_team_id,away_team_id,game_time,home_score,away_score,is_final,spread,over_under,weather_conditions,espn_game_id,picks_locked,created_at,updated_at,season_type,season_year,week,tv_channel,over_odds,under_odds,espn_event_id,home_team_record,away_team_record
361,2,12,25,2025-08-08 20:00:00,,,f,,,,,f,2025-07-22 20:24:49.899727,2025-07-24 15:44:21.851644,1,2025,pre2,Local,,,,0-0,0-0
353,2,11,18,2025-07-31 20:00:00,25,25,t,-1.0,32.5,,401772971,t,2025-07-22 20:17:15.91178,2025-07-24 19:07:09.155672,1,2025,pre1,TBD,-115.00,-105.00,401772971,0-1,1-0
422,2,9,2,2025-08-21 20:00:00,,,f,,,,,f,2025-07-22 20:27:10.550641,2025-07-22 20:27:10.550641,1,2025,pre4,Local,,,,0-0,0-0
362,2,15,27,2025-08-08 20:00:00,,,f,,,,,f,2025-07-22 20:24:49.899727,2025-07-24 15:44:21.851644,1,2025,pre2,Local,,,,0-0,0-0
368,2,28,10,2025-08-10 20:00:00,,,f,,,,,f,2025-07-22 20:24:49.899727,2025-07-24 15:44:21.851644,1,2025,pre2,Local,,,,0-0,0-0
423,2,11,13,2025-08-21 20:00:00,,,f,,,,,f,2025-07-22 20:27:10.550641,2025-07-22 20:27:10.550641,1,2025,pre4,Local,,,,0-1,0-0
369,2,29,17,2025-08-10 20:00:00,,,f,,,,,f,2025-07-22 20:24:49.899727,2025-07-24 15:44:21.851644,1,2025,pre2,Local,,,,0-0,0-0
424,2,12,29,2025-08-21 20:00:00,,,f,,,,,f,2025-07-22 20:27:10.550641,2025-07-22 20:27:10.550641,1,2025,pre4,Local,,,,0-0,0-0
366,2,22,32,2025-08-09 20:00:00,,,f,,,,,f,2025-07-22 20:24:49.899727,2025-07-24 15:44:21.851644,1,2025,pre2,Local,,,,0-0,0-0
359,2,5,8,2025-08-08 20:00:00,,,f,,,,,f,2025-07-22 20:24:49.899727,2025-07-24 15:44:21.851644,1,2025,pre2,Local,,,,0-0,0-0
364,2,19,9,2025-08-09 20:00:00,,,f,,,,,f,2025-07-22 20:24:49.899727,2025-07-24 15:44:21.851644,1,2025,pre2,Local,,,,0-0,0-0
365,2,21,13,2025-08-09 20:00:00,,,f,,,,,f,2025-07-22 20:24:49.899727,2025-07-24 15:44:21.851644,1,2025,pre2,Local,,,,0-0,0-0
363,2,18,23,2025-08-09 20:00:00,,,f,,,,,f,2025-07-22 20:24:49.899727,2025-07-24 15:44:21.851644,1,2025,pre2,Local,,,,1-0,0-0
367,2,26,7,2025-08-09 20:00:00,,,f,,,,,f,2025-07-22 20:24:49.899727,2025-07-24 15:44:21.851644,1,2025,pre2,Local,,,,0-0,0-0
357,2,3,14,2025-08-08 20:00:00,,,f,,,,,f,2025-07-22 20:24:38.152745,2025-07-24 15:44:21.851644,1,2025,pre2,Local,,,,0-0,0-0
358,2,4,24,2025-08-08 20:00:00,,,f,,,,,f,2025-07-22 20:24:38.152745,2025-07-24 15:44:21.851644,1,2025,pre2,Local,,,,0-0,0-0
425,2,16,6,2025-08-22 20:00:00,,,f,,,,,f,2025-07-22 20:27:10.550641,2025-07-22 20:27:10.550641,1,2025,pre4,Local,,,,0-0,0-0
354,2,1,16,2025-08-07 20:00:00,,,f,,,,,f,2025-07-22 20:17:34.882793,2025-07-24 15:44:21.851644,1,2025,pre2,Local,,,,0-0,0-0
426,2,20,15,2025-08-22 20:00:00,,,f,,,,,f,2025-07-22 20:27:10.550641,2025-07-22 20:27:10.550641,1,2025,pre4,Local,,,,0-0,0-0
427,2,23,10,2025-08-22 20:00:00,,,f,,,,,f,2025-07-22 20:27:10.550641,2025-07-22 20:27:10.550641,1,2025,pre4,Local,,,,0-0,0-0
420,2,7,14,2025-08-21 20:00:00,,,f,,,,,f,2025-07-22 20:27:10.550641,2025-07-22 20:27:10.550641,1,2025,pre4,Local,,,,0-0,0-0
431,2,30,4,2025-08-23 20:00:00,,,f,,,,,f,2025-07-22 20:27:10.550641,2025-07-22 20:27:10.550641,1,2025,pre4,Local,,,,0-0,0-0
428,2,24,22,2025-08-21 20:00:00,,,f,,,,,f,2025-07-22 20:27:10.550641,2025-07-22 20:27:10.550641,1,2025,pre4,Local,,,,0-0,0-0
419,2,5,27,2025-08-21 20:00:00,,,f,,,,,f,2025-07-22 20:27:10.550641,2025-07-22 20:27:10.550641,1,2025,pre4,Local,,,,0-0,0-0
433,2,32,3,2025-08-23 20:00:00,,,f,,,,,f,2025-07-22 20:27:10.550641,2025-07-22 20:27:10.550641,1,2025,pre4,Local,,,,0-0,0-0
418,2,1,17,2025-08-21 20:00:00,,,f,,,,,f,2025-07-22 20:27:10.550641,2025-07-22 20:27:10.550641,1,2025,pre4,Local,,,,0-0,0-0
429,2,25,26,2025-08-22 20:00:00,,,f,,,,,f,2025-07-22 20:27:10.550641,2025-07-22 20:27:10.550641,1,2025,pre4,Local,,,,0-0,0-0
421,2,8,19,2025-08-21 20:00:00,,,f,,,,,f,2025-07-22 20:27:10.550641,2025-07-22 20:27:10.550641,1,2025,pre4,Local,,,,0-0,0-0
430,2,28,18,2025-08-22 20:00:00,,,f,,,,,f,2025-07-22 20:27:10.550641,2025-07-22 20:27:10.550641,1,2025,pre4,Local,,,,0-0,1-0
432,2,31,21,2025-08-22 20:00:00,,,f,,,,,f,2025-07-22 20:27:10.550641,2025-07-22 20:27:10.550641,1,2025,pre4,Local,,,,0-0,0-0
417,2,32,7,2025-08-18 20:00:00,,,f,,,,,f,2025-07-22 20:26:56.574632,2025-07-22 20:26:56.574632,1,2025,pre3,Local,,,,0-0,0-0
356,2,2,11,2025-08-08 20:00:00,,,f,,,,,f,2025-07-22 20:24:38.152745,2025-07-24 15:44:21.851644,1,2025,pre2,Local,,,,0-0,0-1
370,2,30,31,2025-08-10 20:00:00,,,f,,,,,f,2025-07-22 20:24:49.899727,2025-07-24 15:44:21.851644,1,2025,pre2,Local,,,,0-0,0-0
406,2,11,20,2025-08-15 20:00:00,,,f,,,,,f,2025-07-22 20:26:56.574632,2025-07-22 20:26:56.574632,1,2025,pre3,Local,,,,0-1,0-0
411,2,21,22,2025-08-16 20:00:00,,,f,,,,,f,2025-07-22 20:26:56.574632,2025-07-22 20:26:56.574632,1,2025,pre3,Local,,,,0-0,0-0
412,2,23,15,2025-08-16 20:00:00,,,f,,,,,f,2025-07-22 20:26:56.574632,2025-07-22 20:26:56.574632,1,2025,pre3,Local,,,,0-0,0-0
403,2,6,4,2025-08-17 20:00:00,,,f,,,,,f,2025-07-22 20:26:56.574632,2025-07-22 20:26:56.574632,1,2025,pre3,Local,,,,0-0,0-0
404,2,9,3,2025-08-15 20:00:00,,,f,,,,,f,2025-07-22 20:26:56.574632,2025-07-22 20:26:56.574632,1,2025,pre3,Local,,,,0-0,0-0
405,2,10,1,2025-08-15 20:00:00,,,f,,,,,f,2025-07-22 20:26:56.574632,2025-07-22 20:26:56.574632,1,2025,pre3,Local,,,,0-0,0-0
413,2,24,25,2025-08-17 20:00:00,,,f,,,,,f,2025-07-22 20:26:56.574632,2025-07-22 20:26:56.574632,1,2025,pre3,Local,,,,0-0,0-0
407,2,13,5,2025-08-15 20:00:00,,,f,,,,,f,2025-07-22 20:26:56.574632,2025-07-22 20:26:56.574632,1,2025,pre3,Local,,,,0-0,0-0
408,2,14,12,2025-08-15 20:00:00,,,f,,,,,f,2025-07-22 20:26:56.574632,2025-07-22 20:26:56.574632,1,2025,pre3,Local,,,,0-0,0-0
410,2,19,18,2025-08-16 20:00:00,,,f,,,,,f,2025-07-22 20:26:56.574632,2025-07-22 20:26:56.574632,1,2025,pre3,Local,,,,0-0,1-0
414,2,26,8,2025-08-17 20:00:00,,,f,,,,,f,2025-07-22 20:26:56.574632,2025-07-22 20:26:56.574632,1,2025,pre3,Local,,,,0-0,0-0
409,2,17,28,2025-08-16 20:00:00,,,f,,,,,f,2025-07-22 20:26:56.574632,2025-07-22 20:26:56.574632,1,2025,pre3,Local,,,,0-0,0-0
416,2,29,16,2025-08-17 20:00:00,,,f,,,,,f,2025-07-22 20:26:56.574632,2025-07-22 20:26:56.574632,1,2025,pre3,Local,,,,0-0,0-0
415,2,30,27,2025-08-17 20:00:00,,,f,,,,,f,2025-07-22 20:26:56.574632,2025-07-22 20:26:56.574632,1,2025,pre3,Local,,,,0-0,0-0
402,2,2,31,2025-08-14 20:00:00,,,f,,,,,f,2025-07-22 20:26:56.574632,2025-07-22 20:26:56.574632,1,2025,pre3,Local,,,,0-0,0-0
360,2,6,20,2025-08-08 20:00:00,,,f,,,,,f,2025-07-22 20:24:49.899727,2025-07-24 15:44:21.851644,1,2025,pre2,Local,,,,0-0,0-0
